designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_visibility_periods_used,rv_chisq_pvalue,rv_time_duration,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 661247671632285824,661247671632285824,130.35989743475673,19.542052408907352,0.49418572211325834,-0.8639618580012409,-8.13751479879681,1.0565101,15.74939,16.037588,15.2664385,0.77114964,0.28819847,0.48295116,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5861.602,4.5647,-1.1161,1234.4075,0.03,0.0254,0.0138
Gaia DR3 661247701694090624,661247701694090624,130.36793437879578,19.550895197067955,-0.20735944007014462,-0.5944463618425995,-2.8765171586168807,0.9526689,19.794083,20.083002,19.361927,0.72107506,0.28891945,0.4321556,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661247701696542080,661247701696542080,130.3819239143181,19.55031769643926,,,,,20.947477,21.553207,20.024387,1.52882,0.60573006,0.92309,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661247705992123776,661247705992123776,130.37603171352626,19.548633788277016,1.2993631509957573,1.966146927767938,-4.588847652495511,1.042722,19.512503,20.243639,18.714323,1.529316,0.7311363,0.7981796,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661247770413583232,661247770413583232,130.3688267469419,19.56516565587938,0.4253336529791172,2.648829317914457,-4.763364609601922,0.9838468,19.395685,19.65731,19.077282,0.58002853,0.2616253,0.31840324,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661247770415975168,661247770415975168,130.35683711164714,19.56181986042869,0.3930324363942488,-11.243761526126786,3.623511761325417,0.95549417,20.312355,21.110407,19.053793,2.056614,0.79805183,1.2585621,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661247839133069184,661247839133069184,130.39041211145957,19.572455221750715,1.4758859538660971,-0.25377417471059216,-14.691313791342163,0.9924691,18.962362,20.059767,17.919716,2.140051,1.0974045,1.0426464,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3402.0647,4.6265,-1.242,450.5792,0.151,0.1017,0.0599
Gaia DR3 661247843431074688,661247843431074688,130.39833090849197,19.56782213519388,2.2077825797356287,-7.392041711617185,-12.275136945728251,0.99600214,18.716623,20.191647,17.505714,2.6859322,1.4750233,1.2109089,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3323.4255,4.925,-0.1247,380.1346,0.6338,0.4038,0.2656
Gaia DR3 661247976571685888,661247976571685888,130.43939727310988,19.572920866013963,0.23340277817743188,-3.295631362772178,-0.9573231357509535,0.97719085,13.139016,13.62201,12.493724,1.1282864,0.48299408,0.6452923,58.435875,0.9235608,32,16,,967.88257,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,
Gaia DR3 661247976572016768,661247976572016768,130.43644390542386,19.569591978446134,0.6287107971893864,-0.4943067492055254,-5.997133662002386,1.0483437,19.726053,20.00932,19.377523,0.6317959,0.28326607,0.34852982,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248010931760128,661248010931760128,130.42026041060387,19.572131975392537,1.460128081659975,-1.4212081549131752,-3.1381242627521453,0.983702,20.49221,20.323635,20.38037,-0.056734085,-0.16857529,0.1118412,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248010931760512,661248010931760512,130.41653930439094,19.572884682002723,0.4227861825284288,8.104520984024523,-2.7802667345421312,0.977777,19.562675,20.47492,18.490732,1.9841881,0.9122448,1.0719433,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
