designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_visibility_periods_used,rv_chisq_pvalue,rv_time_duration,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4054222696761289472,4054222696761289472,265.06889639742445,-32.24549756856908,,,,,20.808077,20.40906,19.44332,0.9657402,-0.39901733,1.3647575,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054222696761290752,4054222696761290752,265.0705665016703,-32.247704039379336,,,,,20.69818,22.279406,19.209278,3.0701275,1.5812263,1.4889011,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054221116205815424,4054221116205815424,265.0583799353353,-32.27061324453707,2.4016617130908853,-1.3926594012530469,-6.642007875451339,0.9703816,18.485994,20.427086,17.159,3.2680855,1.9410915,1.326994,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,3265.5874,4.5797,0.0645,449.1249,1.19,0.7327,0.5092
Gaia DR3 4054221116213313920,4054221116213313920,265.0527463478613,-32.26988571691394,3.399420736749084,-2.674777191527104,-3.912725843349282,1.0759596,20.511074,21.680744,18.708231,2.9725132,1.1696701,1.8028431,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054221116213316992,4054221116213316992,265.0566586483599,-32.27215980349066,-0.11461355581729071,-1.531049849019296,-2.488231916692214,1.0866357,19.213099,21.762989,17.726423,4.036566,2.5498905,1.4866753,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054221116219666176,4054221116219666176,265.05885087946666,-32.270126433489246,0.6141186511405448,-1.9615708650743051,-13.146929756724045,1.0608342,20.473011,20.423481,18.657427,1.7660542,-0.04953003,1.8155842,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054221120540451584,4054221120540451584,265.0628403196304,-32.27303835013359,2.603696825128453,-4.984627368861055,-1.4499706781234483,1.0678521,20.174555,21.567986,18.270626,3.2973595,1.3934307,1.9039288,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054221120540461824,4054221120540461824,265.05835504361215,-32.27411375058315,-0.6923509750418938,-2.326909939320142,-7.060732382320976,1.147158,19.91631,22.078217,18.308512,3.7697048,2.1619072,1.6077976,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054221120543800960,4054221120543800960,265.05646056253823,-32.27354182842872,,,,,20.628939,22.597645,18.91295,3.6846943,1.9687061,1.7159882,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4054221120543807360,4054221120543807360,265.0585270212628,-32.27002512500035,,,,,20.877111,,,,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
