source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
6083698755345469312,201.72373092831998,-47.49902693399124,,,,,15.92724,15.2832985,14.241343,1.041956,-0.6439419,1.6858978,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755345470336,201.72198640059528,-47.49794030253361,,,,,16.661884,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755345470592,201.7217711497285,-47.4986604915413,,,,,16.424547,15.589913,14.551001,1.0389128,-0.8346338,1.8735466,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755345476608,201.72577868140297,-47.49921631138365,-0.31725673560842366,-4.375000201027224,-6.116498460720393,1.9837545,14.650657,14.539434,13.344293,1.1951418,-0.11122227,1.306364,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755345479040,201.72319390649272,-47.497282925205546,0.16214661892853804,-3.9896286374841434,-8.149218244212179,1.1518553,11.830122,12.5147915,10.968681,1.5461102,0.6846695,0.86144066,229.58455,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755345491456,201.7263816162687,-47.49616429280387,1.071214728090296,-4.059407154184316,-5.745191956629524,2.7610915,15.180094,15.088747,13.934959,1.1537876,-0.09134674,1.2451344,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755345494912,201.7241745517904,-47.494708321781744,0.14055371097465041,-3.2229304328266517,-6.6683924393352,2.3095632,16.02419,15.228577,14.230477,0.9980993,-0.79561424,1.7937136,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755348040448,201.70875258455163,-47.50421694100074,0.5011036002817478,-3.7610904523413247,-5.973089037946177,1.5508784,14.720103,14.440458,13.900728,0.5397301,-0.27964497,0.81937504,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755348059520,201.71102643114185,-47.50332527458676,0.029995476181655878,-4.209144937457901,-12.636878752212095,2.0299788,15.69051,15.558733,14.377304,1.1814289,-0.13177681,1.3132057,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755348064640,201.71265842992776,-47.50411942262983,,,,,14.824279,14.581955,13.7065325,0.8754225,-0.24232388,1.1177464,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755369267968,201.71512463691082,-47.50430247948092,,,,,16.838259,15.659942,14.796052,0.8638897,-1.1783171,2.0422068,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348084864,201.71582994169412,-47.50327379218274,,,,,16.157827,15.46834,14.494679,0.97366047,-0.68948746,1.6631479,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348095616,201.71579833261282,-47.50128630965563,-0.9534077002313379,-3.5363959588831833,-8.109700219798091,1.9824276,15.126339,14.703396,14.1580715,0.5453243,-0.42294312,0.96826744,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,11228.212,3.2826,-1.467,13173.651,1.1143,1.0429,0.563
6083698755369299328,201.71979849943182,-47.50183659371595,,,,,16.939308,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348109952,201.71837573965075,-47.501154306136534,,,,,15.913098,15.532674,14.496177,1.0364971,-0.3804245,1.4169216,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348111104,201.717195957204,-47.49878978948523,,,,,13.8401,14.007585,12.828223,1.1793613,0.16748428,1.0118771,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348119936,201.72087169876642,-47.500216484357374,,,,,15.916104,15.47723,14.442965,1.0342655,-0.43887424,1.4731398,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348131200,201.72070355891324,-47.498323878017324,,,,,16.251135,15.526826,14.4871,1.0397263,-0.72430897,1.7640352,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348132480,201.72299760249214,-47.50003372792889,,,,,15.776199,15.087419,14.501474,0.5859442,-0.6887808,1.274725,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348143104,201.72192541483724,-47.49680606352197,,,,,17.120205,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348145664,201.7224584570427,-47.49584280551653,1.6094188633576287,-3.180345627698532,-5.413534179571731,5.9297953,13.582493,13.83904,12.59998,1.2390594,0.25654697,0.9825125,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755348145920,201.7220261078704,-47.495793247844745,,,,,,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755369268096,201.71488107712588,-47.50403393557279,,,,,16.771765,15.665287,14.774371,0.8909159,-1.1064777,1.9973936,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348165120,201.72663054565783,-47.49428710417878,,,,,16.801756,15.874521,15.031801,0.84272003,-0.92723465,1.7699547,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348165248,201.72640676660956,-47.4945822977658,,,,,17.425917,15.521836,15.000491,0.52134514,-1.9040804,2.4254255,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755348907008,201.70974198423548,-47.503782686408506,0.7851150725871445,-2.8023344349882198,-5.602284973063422,6.0175166,15.123698,15.007381,14.014366,0.9930153,-0.116316795,1.1093321,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698755349538432,201.7260123917728,-47.49336662826063,,,,,17.283672,15.652614,14.724902,0.9277115,-1.6310587,2.5587702,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755350005760,201.7263501237199,-47.49672457443722,,,,,16.868027,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755350445184,201.7259353713706,-47.49780860468168,,,,,,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755368745344,201.71756091698862,-47.50219698688548,,,,,16.515469,14.061888,12.434536,1.6273518,-2.4535809,4.0809326,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755368745728,201.71909139377854,-47.502844822498645,,,,,15.510082,14.54208,13.739513,0.8025665,-0.9680023,1.7705688,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755368747776,201.72179441077546,-47.50045254301187,,,,,16.47738,15.693768,14.718992,0.9747753,-0.7836132,1.7583885,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755368748160,201.72234073980357,-47.4984413378276,,,,,15.389994,14.915081,13.825242,1.089839,-0.47491264,1.5647516,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755368749440,201.7235172862148,-47.496495418067106,0.38766711093093126,-2.7414659217142394,-7.141567904079837,1.4554415,11.836067,12.560933,10.939156,1.6217775,0.7248659,0.8969116,258.15717,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4963.379,1.2934,-0.3058,10787.477,1.2945,0.983,0.5202
6083698755369087360,201.71985477101396,-47.50098859830166,,,,,15.854887,15.326741,14.366792,0.9599495,-0.5281458,1.4880953,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755369089920,201.71927665273824,-47.49729795134089,,,,,13.797414,14.059154,12.858323,1.2008305,0.26173973,0.9390907,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755369090944,201.7249185978019,-47.49891019428366,,,,,16.536844,15.263866,14.213321,1.0505457,-1.2729778,2.3235235,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755369091840,201.72484568439776,-47.498010388162896,,,,,15.91054,15.3618355,14.386675,0.9751606,-0.54870415,1.5238647,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755369092736,201.72587445158726,-47.49722879296382,,,,,14.728763,14.466737,13.929038,0.53769875,-0.26202583,0.7997246,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698755369195648,201.72654777035683,-47.49844058328018,0.7316262585537732,-3.75433361881936,-4.527495614659473,1.5268368,15.63244,15.267911,14.240015,1.0278959,-0.36452866,1.3924246,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698785400402816,201.6988891574242,-47.504713676970155,0.11808834855498021,-2.74665882663973,-6.480797517339486,1.1262894,13.777714,14.147718,12.915262,1.2324562,0.37000465,0.86245155,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
6083698785400406400,201.7031096197041,-47.49942076545922,-0.38306151925199583,-3.933258444900539,-7.841790305055973,7.5854726,14.06588,14.308765,13.141072,1.1676931,0.24288559,0.92480755,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698785400414336,201.69950894791535,-47.498357641284535,,,,,13.989673,14.293485,13.054853,1.2386312,0.30381203,0.9348192,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
6083698785400433280,201.701803413447,-47.49645034598813,0.2976092631619678,-3.7215303154373647,-7.208551558050173,1.6663163,13.253255,13.664546,12.402991,1.2615547,0.41129112,0.8502636,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
6083698785405027200,201.6872289233705,-47.503311333671824,1.6160173954660686,-1.7658607415809953,-8.765969730095271,4.6058693,14.342915,13.945596,12.414159,1.5314369,-0.39731884,1.9287558,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
