source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3017361005306556672,83.82596258272798,-5.403551931722953,,,,,18.629345,0.5407028,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005306713088,83.82638062651935,-5.410810732727935,,,,,18.219671,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017364127743283584,83.81215678344145,-5.377558199993483,2.334584607463065,1.9248319935810443,-0.3924443248432756,1.450466,13.082761,1.2425165,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017360936594551040,83.83267348571445,-5.413300281414134,2.715128709054078,1.0484412763593585,2.6292259854457667,0.60542446,16.232708,0.75882244,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017360936597439232,83.83121624430186,-5.415127259249056,,,,,20.310165,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017360970946141952,83.82134077703611,-5.416303067285384,2.4720758547786112,1.1070331532452695,-0.6254278050211556,0.6783812,16.295652,0.7719021,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017360970947016064,83.81746116375908,-5.41568145642882,,,,,15.9715605,0.78958225,,"NOT_AVAILABLE",0,true,false,false,false,false,false,false,,,,,,,
3017360970954155008,83.81636933303604,-5.412659558480573,,,,,20.802914,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017360970954173568,83.81646842919073,-5.409393370975391,,,,,20.561693,0.65011597,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017360970954300032,83.81756587958095,-5.415577594545908,,,,,16.832056,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017360970957167616,83.82088820147541,-5.4133275475201845,,,,,20.450342,0.6972933,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017360970957170816,83.82066521002419,-5.417240284054534,,,,,20.724003,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017360970957208064,83.82150001350452,-5.417244882908639,,,,,19.952925,0.6574869,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017360970957215872,83.82107153619266,-5.413405539522239,,,,,19.738873,0.6365118,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361001006985216,83.82696597967599,-5.401941239583647,2.437887362669525,1.2800422746419233,0.7452618678179772,0.6866068,15.332566,0.8083668,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361001006988416,83.83191970296282,-5.4073940600036625,2.5354315742366555,1.3768543904186097,-0.9967024112864005,0.69597614,14.400704,0.9147949,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361005300535552,83.8158649475155,-5.407908147262443,,,,,20.236969,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005303777280,83.81721563616745,-5.407129723303261,,,,,19.498436,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005306507264,83.82530353402949,-5.400310943164196,2.448788109263586,1.2173025286718004,0.5229972642826086,0.6018127,15.96848,0.7055979,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005306552064,83.82871585237726,-5.404854211859945,2.9332898452622027,1.3707054500051603,0.40533575096373037,0.28784892,17.42663,0.62898064,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005306723072,83.82390401161928,-5.412137629231466,2.675444493980165,1.842450357528228,-0.0602891886672715,0.34236556,17.328142,0.5716696,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005313828864,83.81690074605105,-5.406643882940376,,,,,19.721155,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005313830272,83.82283707876739,-5.404822160957694,2.6341541822373795,1.595162480980601,0.1511244879848908,0.43197513,17.237757,0.5692682,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005313870592,83.82373825301954,-5.415022119416684,2.5734051253839474,1.2215599966567785,-0.20176650854249165,0.5197439,16.567236,0.67657375,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005313893760,83.81879307948131,-5.409950372349468,,,,,20.334034,0.55216503,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005313980544,83.81932483482603,-5.411209863253251,,,,,20.222462,0.671154,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005314013056,83.8263891194683,-5.401345037134328,2.8263986809687496,1.78164888302882,0.12465218236363734,0.7205981,16.295256,0.7302923,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361005314028800,83.82588729379313,-5.40841407144859,2.278749899046757,0.8162832216551571,2.502142651311587,0.43224385,17.191715,0.59297466,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005314031104,83.82619029644617,-5.410792723541898,1.6197191492277638,-0.19957290331371597,0.7036984512007611,0.50122774,17.475025,0.6269388,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361005314032256,83.82423526017698,-5.4113916551509424,2.5478641037055545,1.7463866167314315,-0.340660229831267,0.7914717,18.372046,0.6181898,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361005316899328,83.81857970630867,-5.409257131125386,,,,,19.830715,0.09464741,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
