source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,has_epoch_photometry,teff_gspphot,mh_gspphot
6083446451784542848,202.18851673921034,-47.888430334850746,0.6917188607569276,-3.154335802795775,-7.10605076997599,0.95393395,20.170631,20.648876,19.665508,0.9833679,0.47824478,0.50512314,,false,,
6083446451784544768,202.1945110034865,-47.892689917647914,,,,,20.901876,21.636635,19.893934,1.7427006,0.7347584,1.0079422,,false,,
6083448062389200512,202.26727338288615,-47.79978782958376,0.189698074932224,-6.090447463118892,-4.1612862646066,1.0527226,19.314796,19.774323,18.88604,0.8882828,0.45952606,0.4287567,,false,,
6083448066682254592,202.2619626788389,-47.80660290445994,0.3740269263018806,-3.543441908840661,-7.063936818966727,1.033278,19.47881,19.844429,18.890846,0.95358276,0.36561966,0.5879631,,false,,
6083448066682258816,202.26233249613676,-47.805479085797714,,,,,18.953218,,,,,,,false,,
6083726483674877440,201.65114909229112,-47.19760743780677,0.42920021296964395,-3.7968038959193464,-5.859033320578612,0.90591955,19.705244,20.149635,19.116615,1.03302,0.44439125,0.58862877,,false,,
6083726483674880768,201.6524493037147,-47.19794096500657,-0.24667758803567208,-3.6146946627936334,-7.010720774369228,0.9784636,19.436888,19.753902,18.79708,0.95682335,0.3170147,0.63980865,,false,,
6083726483674889728,201.64835538205682,-47.193025881862575,0.04352672786225592,-1.884173934683141,-5.901088197141356,0.98416334,19.709843,20.05708,19.121021,0.93605804,0.34723663,0.5888214,,false,,
6083726483674893696,201.6555285169365,-47.198354073485255,-0.15845374545589305,-3.076609086532941,-7.385118696855557,1.0580229,18.90416,,,,,,,false,,
6083726483674893824,201.65356506361164,-47.19663053890562,,,,,18.827682,,,,,,,false,,
6083703565719254656,201.87299644473316,-47.49899407393036,0.591574153132264,-4.208690955253095,-7.02827805632214,1.0262734,17.676115,17.697454,16.867805,0.829649,0.021339417,0.80830956,,false,,
6083703565719255936,201.8780188376583,-47.50259513608403,,,,,18.809622,,,,,,,false,,
6083703565719257216,201.87299419536265,-47.49683599042315,-1.7862629608372889,-4.1949234760791825,-10.11593492932403,1.7036817,18.349611,,,,,,,false,,
6083728781455777408,201.8014853986701,-47.073155741125014,-0.8725299790570394,-6.336457407036166,-1.2370724172778462,0.9692613,20.071266,20.624245,19.614979,1.0092659,0.5529785,0.45628738,,false,,
6083734077147975040,200.96757546263967,-47.476740741733906,-2.9711650060798482,-5.912926400163496,-7.19020842416537,1.176473,20.830812,21.283594,20.073954,1.2096405,0.45278168,0.7568588,,false,,
6083734077147978624,200.97726396030131,-47.47796468855752,,,,,20.832743,21.668304,19.506552,2.1617527,0.83556175,1.326191,,false,,
6083734077148687488,200.9739296111582,-47.480922371131584,,,,,21.015127,21.170612,20.15075,1.0198631,0.15548515,0.864378,,false,,
6083486064259057280,201.85529386400316,-47.98330430394551,0.8122513056665932,-4.220158024369191,-0.8574578958069186,1.0444275,19.551052,20.051598,18.93151,1.1200867,0.5005455,0.61954117,,false,,
6083486064259058304,201.86371826870396,-47.98302369553504,1.7115991702543396,-4.184339950334181,-5.007463539627524,1.0412525,20.11524,20.510853,19.506767,1.0040855,0.39561272,0.6084728,,false,,
6083486618308411520,201.93604793787026,-47.93102084673535,0.4170160676295068,-4.0564631558923026,-0.4807882137992241,1.0398093,19.119564,19.460386,18.525831,0.93455505,0.34082222,0.59373283,,false,,
6083487404289072128,201.90093427106578,-47.91825603449598,0.2095832576911226,-5.5693155080420835,1.6415543636393237,1.0328931,19.47228,19.839823,19.011776,0.8280468,0.36754227,0.46050453,,false,,
6083487404289080064,201.90476943113694,-47.91607927806161,0.5662766196835062,-5.339404465419801,-0.6150512952314782,1.0751531,19.441881,20.004904,18.8756,1.129303,0.5630226,0.56628036,,false,,
6083488022764063872,201.69801796804066,-48.007175101830946,0.5435766902880151,-9.283653416562787,-2.641613008123018,0.9783591,19.071653,20.020311,18.230125,1.7901859,0.948658,0.84152794,,false,,
6083488022764065024,201.69056573645662,-48.00671258153703,0.24373758150339223,-4.23337133503208,-1.8597340042812969,0.98424774,19.695852,20.116053,19.052397,1.0636559,0.42020035,0.6434555,,false,,
6083488400721366912,201.70218841080415,-47.95013791974403,0.21310573792983623,0.31323927040924415,-1.9317999844469824,1.0964066,19.39169,19.809734,18.862,0.94773483,0.41804504,0.5296898,,false,,
6083488405021011968,201.68573288564457,-47.9613674347166,,,,,20.747398,20.996132,19.62198,1.3741512,0.24873352,1.1254177,,false,,
6083489779404419072,201.75334913985722,-47.88673906811724,-0.17517822399297367,-8.765044120492473,0.34673222922270336,1.0672709,19.424183,20.099722,18.789993,1.3097286,0.675539,0.6341896,,false,,
6083491806644152704,201.84122110579952,-47.82601420417711,0.16215073311650868,-3.208400559633967,-6.735091088889554,0.9626446,19.51662,19.988682,19.00946,0.97922134,0.47206116,0.5071602,,false,,
6083759567780649472,201.070914371308,-47.17964198541786,0.3630176767388892,-2.0784042489074674,-5.993432700102776,1.0511079,19.496792,19.993149,18.998281,0.9948673,0.49635696,0.49851036,,false,,
6083759567780665856,201.07233003864977,-47.1775725330037,0.6069953130777764,-3.327601065449489,-7.667503178794005,0.97578436,19.547403,19.959568,19.006344,0.9532242,0.4121647,0.5410595,,false,,
6083759567780697856,201.07206147477856,-47.173474830263274,0.06641749451243034,-8.098694018293042,-0.8098045933476423,1.0889763,20.417604,21.035753,19.64257,1.3931828,0.6181488,0.77503395,,false,,
6083763282961360640,201.06666975311117,-47.07463278638193,0.11892218757444946,-3.3995896814649607,-6.78237147122206,1.02535,19.331427,19.767637,18.865206,0.9024315,0.43621063,0.46622086,,false,,
6083493795202298240,202.00546067515262,-47.84225748585696,-0.8006769479647013,-3.4184196703298726,-7.690664005194866,0.9629386,20.137583,20.697807,19.779135,0.91867256,0.56022453,0.35844803,,false,,
6083706451934973184,202.03923072154697,-47.353748108197436,0.29713758369894977,-3.240684495706806,-7.373776587121471,0.9775711,19.118261,19.387281,18.411219,0.9760628,0.26902008,0.7070427,,false,,
6083706451934973312,202.03986062051254,-47.35365669523134,-0.6824299090244526,-2.4444449154676384,-6.666948618510577,0.895175,19.433504,,,,,,,false,,
6083706451934974464,202.04112817212965,-47.35324368121347,,,,,20.75468,,,,,,,false,,
6083706451934974592,202.04050011919944,-47.353122147565884,,,,,20.166195,,,,,,,false,,
6083764446864292864,201.09916994759584,-47.03678444722066,0.5005716463340494,-1.2729050112669689,-1.2546636212381026,0.9998828,19.228022,19.732645,18.700811,1.0318336,0.5046234,0.52721024,,false,,
6083494692847258368,202.1827323186733,-47.79560514725422,2.5471217101871915,-3.0678869650570855,-4.632512562846234,1.5689979,19.461441,19.712387,18.734041,0.9783459,0.25094604,0.7273998,,false,,
6083706585062802688,202.08315874342847,-47.32858491506892,0.48254709880621954,-3.6911707438574686,-7.021943743230997,1.089971,19.423851,19.699638,18.90453,0.7951088,0.27578735,0.51932144,,false,,
6083494692852164352,202.1903331362353,-47.798237083318305,0.11388107387541924,-4.915059851323709,-1.454194972844658,1.0595133,19.825054,20.242853,19.399027,0.8438263,0.417799,0.4260273,,false,,
6083706692452509824,201.94386900071075,-47.38334937277417,-0.2602025228609076,-1.6380591086459892,-6.898057881548233,1.0943775,19.021154,19.336971,18.458782,0.8781891,0.31581688,0.5623722,,false,,
6083706692455827328,201.93051373512637,-47.40303538479447,,,,,20.204025,,,,,,,false,,
6083706692455828992,201.930219193955,-47.40126178459041,,,,,20.481207,,18.884268,,,1.5969391,,false,,
6083706692455831424,201.933358469898,-47.402412539676014,,,,,20.240547,,,,,,,false,,
6083706692455831552,201.93331724579375,-47.40273534507993,-1.279675749578472,2.610430950005343,-9.26243050995482,1.3325698,19.86954,,,,,,,false,,
6083706692455834240,201.92903344792853,-47.39737546804626,,,,,20.619925,,,,,,,false,,
6083706692455834880,201.93539729385765,-47.402581292335334,,,,,20.389858,,,,,,,false,,
6083765035273056768,201.31636102524186,-47.33126762546329,0.5653799052328473,-3.0928984967420927,-7.054876062021561,0.97578067,19.27389,19.698734,18.709867,0.9888668,0.42484474,0.56402206,,false,,
6083495616267279360,202.15507381739042,-47.76696385162703,0.1527684510713153,-4.939455652658315,-2.2991807062218967,0.988143,19.811888,20.204306,19.363428,0.84087753,0.3924179,0.44845963,,false,,
6083495616275273216,202.14324396973413,-47.77450458397929,0.026059975510136967,-4.323411492677973,-0.8229167959762501,0.98741907,20.012217,20.609077,19.5549,1.0541782,0.5968609,0.45731735,,false,,
6083766959419967360,201.3598805145465,-47.214318171308804,0.19249026604439262,-3.3526481963691133,-7.733741921761162,1.0167124,20.436935,21.006004,19.849546,1.1564579,0.5690689,0.587389,,false,,
6083707757621777152,202.04415961438403,-47.2799552504148,-0.23053922090870937,-8.588671049978027,-3.6024008338069726,0.979733,19.068352,19.665485,18.47353,1.1919556,0.59713364,0.59482193,,false,,
6083767234296638592,201.46215330140706,-47.238944634992514,0.46976764616870853,-2.9473054559168226,-6.850739686861588,0.97185194,19.939484,20.610535,19.363363,1.2471714,0.671051,0.5761204,,false,,
6083768226446122240,201.57955965112401,-47.1309704248506,0.3841964189401397,-3.7353307988840467,-8.234844697126933,0.9918223,19.91445,20.401402,19.353064,1.0483379,0.48695183,0.5613861,,false,,
6083500568377876352,202.1855481695101,-47.62070418286994,0.46890690153925596,-3.8302048401466458,-6.399818397990211,1.0491605,19.979052,20.356802,19.302757,1.0540447,0.3777504,0.6762943,,false,,
6083768230730537088,201.5794915146757,-47.13565950037743,0.25448724666810574,-3.019983326342376,1.1743427216521658,1.0663713,19.9411,20.301071,19.359827,0.9412441,0.359972,0.5812721,,false,,
6083768230730541952,201.5800938670442,-47.13233990281941,,,,,20.953262,21.388096,20.07707,1.3110256,0.43483353,0.8761921,,false,,
6083768608686287360,201.43698876513326,-47.164664341777524,-1.2523762684086504,-3.598996895694599,-6.87064819566105,0.9474361,19.897196,20.099602,19.45064,0.648962,0.20240593,0.4465561,,false,,
6083502110257493632,201.70256919251054,-47.820468509497346,0.5029893340545949,-2.978555301248517,-6.780279365232497,0.9957241,19.780083,20.319664,19.28199,1.037674,0.5395813,0.49809265,,false,,
6083502110257499008,201.7101489106958,-47.81958972910769,-0.6843041360401054,-3.095721183494339,-7.559339141202849,1.0186759,19.30878,19.781221,18.80225,0.9789715,0.47244072,0.50653076,,false,,
6083504554092344064,201.79691890058874,-47.74734431529194,0.1570348020412527,-5.918149770576802,-2.5349185712851465,1.0218877,19.208124,19.676207,18.672169,1.0040379,0.46808243,0.5359554,,false,,
6083504554092344960,201.79471664304535,-47.74720957855874,-0.18573498097835955,-3.0062183589750227,-6.15843962534375,1.0106945,19.548555,,,,,,,false,,
6083504554092348928,201.78972196476718,-47.74668148626007,-0.8092497492838792,-3.6499417913676395,-6.724939907925161,1.0597552,19.63675,,,,,,,false,,
6083505378726511616,201.84894854765037,-47.68428655758659,-1.10395183050355,-3.4364271153877124,-7.935425685627422,1.071986,20.133375,,,,,,,false,,
6084081625902335872,202.10823962087025,-47.34877186349864,0.1832977535541116,-3.6129952663096807,-7.066196427547749,1.0223742,20.251667,20.858593,19.669485,1.1891079,0.60692596,0.58218193,,false,,
6084081660262826112,202.1279881979519,-47.333816306971,0.3588129268195221,-3.5672086925177706,-6.954210367912459,0.9945672,19.303658,19.760275,18.826818,0.9334564,0.45661736,0.47683907,,false,,
6083776094815646464,201.80202703956257,-47.037621044754964,0.2401396740298627,-2.616597345107345,-7.035277339151727,1.0048667,19.189045,19.581722,18.706476,0.87524605,0.3926773,0.48256874,,false,,
6083776094815667584,201.80611184262463,-47.0322247383038,0.9352999593835345,-7.135806153681693,1.7367250681937572,0.9874562,19.710876,20.548014,18.8188,1.7292137,0.8371372,0.8920765,,false,,
6084081896482528896,202.09650250519076,-47.32807082070931,0.2803856117367487,-2.616471795530036,-2.6439588440503026,1.048666,19.597301,20.042599,19.079403,0.9631958,0.44529724,0.51789856,,false,,
6084081896482529024,202.10103839738886,-47.327630599779305,-0.19726624879533217,-2.221752930958555,-6.44392529951326,1.092848,19.531946,19.977156,19.028812,0.9483433,0.4452095,0.5031338,,false,,
6083708857117066752,201.86950635037758,-47.3283696791467,0.4181186204540526,-2.446663547831308,-6.474507745691186,0.9625466,19.021076,19.502764,18.650692,0.85207176,0.48168755,0.37038422,,false,,
6083779943106666368,201.6561518499216,-46.926190253777364,1.5282089020241276,8.12352429603951,-4.779399978283102,1.0890387,18.270012,19.499655,17.145721,2.3539333,1.2296429,1.1242905,,false,,
6084083172091348352,202.13637913479715,-47.229553593458895,0.5325199524435987,-5.8343062491346265,-2.6767177047650916,1.0510243,19.197786,19.939276,18.448355,1.490921,0.7414894,0.7494316,,false,,
6084083172091348480,202.14043317962756,-47.22953773553265,-0.18531885437237727,-4.63581608108573,-3.3577178640497154,1.0338404,19.65916,19.979546,19.01519,0.96435547,0.32038498,0.6439705,,false,,
6083780256672582656,201.66540561712048,-46.90205931422366,0.9628144925833242,-5.016125131906323,-1.7756680880812121,0.931011,19.521837,19.982437,19.125708,0.8567295,0.4605999,0.3961296,,false,,
6084083240807536384,202.13138708083326,-47.22517702294641,-2.0311374597600165,4.016393966630308,0.6859161984564903,1.023147,20.660704,21.27947,20.175333,1.1041374,0.6187668,0.48537064,,false,,
6083780256674339968,201.65972014166118,-46.890461027519876,,,,,20.975576,21.955975,19.816338,2.139637,0.9803982,1.1592388,,false,,
6083505378726502784,201.85172664850833,-47.68513757223933,0.010053926838171266,-4.115972899931499,-6.722346021798691,0.96611834,19.744955,20.211771,19.193401,1.0183697,0.46681595,0.5515537,,false,,
6084083339591639552,202.16447069133295,-47.23349199651489,0.4582233158586667,-2.6292645102782943,-6.537717979647816,1.019022,19.353788,19.66884,18.730429,0.9384117,0.31505203,0.6233597,,false,,
6083505378726516864,201.85222868060526,-47.683841801252925,-0.8736739038820933,-6.764215920973491,-2.885311684873308,1.869223,19.381254,19.655998,18.330973,1.3250256,0.27474403,1.0502815,,false,,
6083780565876860416,201.74557845461743,-46.91572600856106,0.3287291986679039,-2.9413579519359963,-7.393170348656584,0.9498749,19.947626,20.327518,19.363003,0.9645157,0.37989235,0.58462334,,false,,
6083670374190912896,201.29114228103055,-47.765559246885005,-1.0490120207859341,-2.233714907762806,-5.56356693241421,1.0050098,20.386673,21.089872,19.860476,1.2293968,0.7031994,0.52619743,,false,,
6083505447446227328,201.83790717002609,-47.663321983150254,1.245446581163899,-3.9904377198973164,-4.900875147784026,0.8175612,19.431025,19.698439,18.891329,0.80710983,0.2674141,0.53969574,,false,,
6084083893645113600,202.25601192919865,-47.23580864114217,0.6067652705283008,-2.7923796982351523,-6.88080377479925,0.9377533,20.442251,20.637604,20.060122,0.5774822,0.19535255,0.38212967,,false,,
6084083893645113984,202.26212344332546,-47.234324940838704,0.46760709554310426,-7.383486383164797,-1.5875691195127284,1.0866157,20.561092,21.100956,20.033281,1.0676746,0.5398636,0.52781105,,false,,
6083505447446232576,201.83880591794303,-47.6628640128032,0.7746902538521512,-4.364889408318236,-6.295531412256006,0.92966866,19.865076,,,,,,,false,,
6084086122730453504,202.07569861132575,-47.228423706588536,-0.2926268829192053,-6.374940342351315,-2.6338573449725846,1.049997,19.034185,19.355787,18.415762,0.9400253,0.32160187,0.61842346,,false,,
6084083339591640192,202.15336837791224,-47.2330410945874,-0.01760054822157737,-4.535263126233605,-2.167995751095176,0.87538725,19.046139,19.382357,18.476946,0.90541077,0.33621788,0.5691929,,false,,
6083505378726515840,201.84958342176958,-47.68399600923875,0.2502252555870923,-3.481493901105165,-6.286820220202628,1.0233315,19.008825,19.317348,18.430676,0.886673,0.30852318,0.5781498,,false,,
6084083339591642496,202.16138554071892,-47.23135045731882,-0.08678185054057883,-2.7118939304083436,-6.442872598762696,1.0407335,19.42572,19.858837,18.965662,0.8931751,0.4331169,0.4600582,,false,,
6083783894476147712,201.25751380639764,-47.05632043249463,0.8207795827569998,-6.829447022674207,-0.48036426984141434,0.9507659,19.034937,19.431274,18.51373,0.9175453,0.3963375,0.5212078,,false,,
6083671851659686784,201.3280798047498,-47.745932830516665,0.43149276052780317,-5.0780001102497,-7.057068568949097,0.84765613,20.509281,21.07221,19.82985,1.2423611,0.56292915,0.6794319,,false,,
6083671851660033408,201.32170681120465,-47.74998693691689,,,,,20.934923,21.288132,20.28003,1.0081024,0.35320854,0.6548939,,false,,
6083671851660185344,201.31164322919852,-47.745717311576236,,,,,20.971346,21.277084,20.935314,0.34177017,0.30573845,0.036031723,,false,,
6083672534557531392,201.43000753336102,-47.670864565585525,0.38678327092022174,-3.47382904667942,-5.792533393278754,1.1285127,19.347082,19.820938,18.80924,1.0116978,0.47385597,0.5378418,,false,,
6083787364809916160,201.22059361378678,-47.00190718872816,0.6586570063317244,1.8785065932131746,-7.877892422883328,1.0452268,19.064304,19.86624,18.258434,1.6078053,0.8019352,0.80587006,,false,,
6084089146387744256,202.29453502237442,-47.050045191835196,0.48262203917794533,-6.621870269560392,0.07268294547581963,0.95329654,19.363266,19.966246,18.801676,1.1645699,0.60297966,0.5615902,,false,,
6084089146387757824,202.28647855441707,-47.04361873857424,0.2891469652610807,-4.158724192556239,-2.366974517453084,1.0323722,19.270973,19.769915,18.68992,1.0799942,0.49894142,0.5810528,,false,,
6083673668440966912,201.27218904967228,-47.712712174236735,0.9732715840204449,-3.0800854179574237,-7.237309627036991,1.0834424,19.865873,20.445215,19.390038,1.0551777,0.5793419,0.4758358,,false,,
6083673668441022720,201.28240975025085,-47.71571434783038,0.4438296325988129,-7.602284563092568,-2.393827629680989,0.9269511,19.043869,19.381376,18.545776,0.8355999,0.33750725,0.49809265,,false,,
6083789220235978624,201.32322910019366,-46.937051160957566,-0.23206457326468394,-4.000679184851988,-7.097997101010973,1.0514963,19.122013,19.464323,18.671661,0.79266167,0.34230995,0.45035172,,false,,
6083789220235980928,201.3266258270906,-46.93652205153607,0.5300768994352607,-3.6597128681455695,-6.30888289320052,1.1021405,19.362123,19.76117,18.862114,0.8990555,0.39904594,0.50000954,,false,,
6083789220235984896,201.3256826924831,-46.93457599822252,1.0525177305636642,-4.72755437399715,-3.4058229612646738,1.0143546,19.117044,20.106718,18.127462,1.9792557,0.9896736,0.98958206,,false,,
6083709819206040576,201.81218564108858,-47.30249716326859,-0.9861425522513989,-2.9224308990031522,-6.890827407726573,1.4215443,18.52595,18.687895,17.861149,0.826746,0.16194534,0.66480064,,false,,
6083675321990993408,201.35710038802537,-47.65525369091476,-0.8305389581525807,-2.665714036283142,-7.194631719656302,1.0855112,19.856356,20.411861,19.212685,1.1991768,0.55550575,0.64367104,,false,,
